,auc,objective,metric,learning_rate,num_leaves,min_child_weight,feature_fraction,bagging_fraction,bagging_freq,max_depth,max_bin,lambda_l1,lambda_l2,min_data_in_bin,min_gain_to_split,min_data_in_leaf,is_unbalance
230,0.893500594,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,0,30,0.001,30,TRUE
231,0.893443414,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,0,30,0.001,30,TRUE
232,0.893411439,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,5,3,30,0.001,30,TRUE
233,0.893411271,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,5,0,30,0.001,30,TRUE
234,0.893387753,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,0,30,0.1,30,TRUE
235,0.893372984,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,5,0,30,0.1,30,TRUE
236,0.8933589,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,5,0,30,0.001,30,TRUE
237,0.893321619,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,0,30,0.001,30,TRUE
238,0.893299189,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,0,0,30,0.1,30,TRUE
239,0.893280426,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,1.33,30,0.001,30,TRUE
240,0.893265965,binary,auc,0.05,20,5,0.3,0.5,1,-1,50,0,1.33,30,0.1,30,TRUE
241,0.893232608,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,0,0,30,0.001,30,TRUE
242,0.893171454,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,1.33,30,0.1,30,TRUE
243,0.893092754,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,0,30,0.1,30,TRUE
